Match_ID,Player_ID,Username,Team,Team_Name,Kills,Deaths,Assists,Accuracy,Headshots,Objective_Score,Time_Played_Min
b4fc8e06-5908-4a07-b262-48e35acdb182,6c09eadb-a274-480a-beef-079994fb8216,GhostReaper,Team_A,GhostReaper_Solo,12,15,2,0.37,2,61,9.97
b4fc8e06-5908-4a07-b262-48e35acdb182,e16cfaf8-a704-4e9e-b8e3-9b53fa16b0ab,BulletStorm,Team_B,BulletStorm_Solo,15,14,6,0.3,5,20,11.06
42ce132f-f393-4a9b-abed-656349ac6fcf,48e2cfac-6c54-49be-a398-04b2d1908fbd,EchoHunter,Team_A,Shadow Corps,11,7,8,0.22,5,34,9.67
42ce132f-f393-4a9b-abed-656349ac6fcf,f4adc5c8-b683-40c1-b6fd-13b9900f8982,GhostReaper,Team_A,Shadow Corps,24,5,1,0.22,5,73,9.79
42ce132f-f393-4a9b-abed-656349ac6fcf,dc4661ea-fa1c-4d64-a524-9f74ef472c2d,TacticalTony,Team_A,Shadow Corps,14,9,5,0.25,7,40,10.69
42ce132f-f393-4a9b-abed-656349ac6fcf,b448ecc6-238a-41c0-b088-2cc6a748f340,ZeroMercy,Team_A,Shadow Corps,20,6,9,0.45,7,48,9.61
42ce132f-f393-4a9b-abed-656349ac6fcf,ba208fbd-a5c8-444b-836f-e05522f94da4,ZeroMercy,Team_A,Shadow Corps,20,7,4,0.42,2,92,10.25
42ce132f-f393-4a9b-abed-656349ac6fcf,9a6664a1-98b7-4298-b6c1-4c3ab7298e41,BlazeOps,Team_B,Shadow Corps,15,5,2,0.29,0,50,10.53
42ce132f-f393-4a9b-abed-656349ac6fcf,3b6dc8dd-dc30-44f0-9e45-607c146351c9,ZeroMercy,Team_B,Shadow Corps,16,9,8,0.51,9,63,9.23
42ce132f-f393-4a9b-abed-656349ac6fcf,72e59aad-d7a0-47d1-a172-ff8fb34d2d01,Maverick76,Team_B,Shadow Corps,25,8,10,0.36,6,44,10.56
42ce132f-f393-4a9b-abed-656349ac6fcf,9c33a16d-3e15-4816-8569-108200067b02,AceTrigger,Team_B,Shadow Corps,16,15,4,0.28,1,91,10.52
42ce132f-f393-4a9b-abed-656349ac6fcf,25c64a07-44a3-4c01-a7f7-a83635ed9b81,AceTrigger,Team_B,Shadow Corps,12,12,6,0.23,0,31,11.65
48eb8772-48e2-4bf8-9fff-5b135fa028e3,9a3278e8-7035-43bb-a364-51280d28bf96,CrimsonHawk,Team_A,Ghost Unit,19,9,3,0.23,6,83,10.95
48eb8772-48e2-4bf8-9fff-5b135fa028e3,9c5608fa-9b12-451f-86af-fab9df0211f2,BlazeOps,Team_A,Ghost Unit,11,15,9,0.26,3,11,9.05
48eb8772-48e2-4bf8-9fff-5b135fa028e3,f6e61e24-2330-444b-95f4-74c55b85717a,ZeroMercy,Team_B,Bravo Squad,25,13,10,0.39,1,4,11.19
